Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
2542,137.672,137.672,56.5448,-21.7288,-0.145858
1518,177.935,177.935,14.6604,-50.303,1.67006
1006,169.322,169.322,-7.59077,11.2757,19.4316
30,96.7137,96.7137,-62.5251,-56.231,22.2363
2078,149.66,149.66,37.3009,-8.9515,-12.7325
1054,112.909,112.909,-6.60692,-36.4244,-24.6485
542,159.45,159.45,-26.4363,-48.3001,-4.73999
2590,239.633,239.633,59.484,-52.3544,6.22519
1566,28.7492,28.7492,14.6873,-63.5892,11.0019
286,198.245,198.245,-39.5194,-20.1197,-27.0486
2334,82.762,82.762,47.6465,-49.5103,-24.3213
1310,128.447,128.447,5.38466,-34.1825,1.48407
798,93.2633,93.2633,-17.849,-28.0454,-19.0634
2846,12.9158,12.9158,64.1404,11.9637,-30.1631
1822,63.4952,63.4952,24.9937,-57.6118,9.9786
158,280.707,280.707,-45.9825,-33.8437,-25.497
2206,157.767,157.767,42.7018,-58.3367,-6.66613
1182,106.291,106.291,-1.41788,-38.8008,-3.91041
670,109.672,109.672,-23.0051,10.8838,-7.79708
2718,19.6402,19.6402,60.6069,-47.6414,-1.73389
1694,237.106,237.106,25.2127,-2.96735,-25.2913
414,183.576,183.576,-31.7704,18.4259,6.64281
2462,69.6811,69.6811,53.2944,9.16431,-28.8104
1438,286.273,286.273,12.7724,-40.3899,-10.8137
1950,183.268,183.268,32.3179,-0.983538,-16.398
94,143.406,143.406,-57.9206,-26.579,-29.8546
2142,310.622,310.622,42.3718,-42.0827,-5.84522
1118,162.536,162.536,-2.30523,-22.9661,-17.3691
606,251.568,251.568,-24.1433,-3.16402,0.833256
2654,31.9945,31.9945,58.7098,-60.878,6.93314
1630,119.33,119.33,18.1173,-33.3829,22.472
2398,329.597,329.597,57.2824,-62.1666,1.35595
1374,167.383,167.383,10.4955,-19.6289,-26.3899
862,154.27,154.27,-14.5716,19.6186,6.49518
1886,211.031,211.031,29.4231,-14.2046,-30.9384
222,78.4185,78.4185,-45.2824,39.7263,-6.69229
2270,132.298,132.298,44.6026,-46.9901,-8.30039
734,162.279,162.279,-19.8767,8.95705,-5.39833
2782,50.1185,50.1185,63.5803,-43.5423,21.6583
1758,15.2103,15.2103,21.5689,-19.4798,-34.9996
478,118.847,118.847,-29.483,38.1199,7.34607
2526,25.8011,25.8011,53.8918,-54.8541,-3.19665
1502,114.067,114.067,13.5086,-24.1328,1.25454
990,121.243,121.243,-8.96136,-45.9167,5.94276
2014,73.0148,73.0148,33.4471,-49.3459,1.03459
62,387.709,387.709,-48.6313,-28.5142,-33.5493
2110,129.329,129.329,38.7718,-28.0218,-34.1469
1086,114.102,114.102,-5.07364,6.82137,26.0981
574,151.446,151.446,-27.695,21.6847,-5.20299
2622,86.7243,86.7243,58.6112,-45.1091,18.1193
1598,177.791,177.791,18.1233,-5.67028,-16.316
318,97.8425,97.8425,-38.2465,16.5927,-15.6932
2366,147.978,147.978,51.7038,-47.8432,-20.5605
1342,145.347,145.347,6.54217,-3.6801,14.2272
830,22.8549,22.8549,-17.6688,-63.3463,-24.2377
1854,207.998,207.998,28.1345,-36.6366,-4.25514
190,161.591,161.591,-45.4562,-19.7153,-31.4263
2238,263.554,263.554,46.7117,-45.9988,-3.53324
1214,94.5033,94.5033,0.393847,-18.0456,-13.7863
702,266.319,266.319,-20.0064,-0.849772,-15.0484
2750,33.0868,33.0868,61.9807,-53.9037,11.5422
1726,164.285,164.285,23.1474,-57.659,-27.2013
446,119.511,119.511,-31.8689,36.5364,1.6621
2494,93.8574,93.8574,54.0902,-50.1454,-8.49274
1470,138.412,138.412,11.1752,-35.1063,9.39846
958,192.923,192.923,-8.80287,6.75211,22.0766
1982,253.781,253.781,35.7391,-14.9205,-33.9634
126,167.281,167.281,-53.1772,-52.9766,-12.936
2174,148.841,148.841,41.062,1.67933,-23.733
1150,318.369,318.369,4.00209,-2.98386,-27.4004
638,8.784,8.784,-26.2392,13.1533,-7.6278
2686,163.425,163.425,61.9374,-23.456,5.06576
1662,118.308,118.308,19.7577,-24.2293,1.70167
382,127.502,127.502,-34.254,39.3081,-14.6097
2430,131.402,131.402,52.8971,-42.3415,7.12693
894,138.335,138.335,-13.2333,-28.9646,-13.4346
1918,97.3731,97.3731,30.5904,7.84734,-34.7241
254,284.429,284.429,-40.3258,14.9563,4.35668
2302,49.4861,49.4861,45.3762,-56.5457,-11.4072
1278,124.848,124.848,4.38181,-19.6799,28.5033
766,160.92,160.92,-18.2665,-32.6769,-13.7309
2814,60.0998,60.0998,63.8558,-38.8524,2.58217
1790,114.976,114.976,23.6899,-40.5727,8.31997
510,149.001,149.001,-28.2289,8.28876,1.13487
2558,26.0192,26.0192,55.2311,-59.599,-1.83046
1022,177.384,177.384,-6.04261,0.749957,20.8789
