Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
2965,95.6311,95.6311,-19.3687,-8.1089,9.20257
2645,109.376,109.376,-27.0913,-1.51143,5.06933
3669,92.5594,92.5594,0.859087,27.0664,5.3164
2389,124.563,124.563,-33.4056,-2.10927,-0.368148
3413,265.845,265.845,-4.02967,7.77646,-17.1065
3797,136.54,136.54,6.10753,10.194,-7.22789
2517,85.094,85.094,-31.1807,-30.1543,-7.80944
3541,81.6946,81.6946,-2.56458,17.6027,-5.27541
2357,101.875,101.875,-34.3695,-6.08307,7.1915
3381,132.238,132.238,-7.13513,24.082,6.74101
3893,310.541,310.541,11.3004,37.9688,11.9639
2741,162.936,162.936,-23.4555,-8.12233,3.70044
3765,67.7487,67.7487,4.28526,25.7224,-1.478
2485,106.704,106.704,-31.2834,-4.36727,4.05538
2997,150.017,150.017,-17.7038,-6.2444,2.59937
4021,212.072,212.072,16.3354,13.3325,20.9232
3701,198.394,198.394,4.70104,28.5785,-4.3238
2421,94.995,94.995,-32.7262,-23.228,3.2821
2933,131.382,131.382,-18.841,12.5425,18.6856
4109,101.415,101.415,15.6875,26.7777,7.43215
2061,101.89,101.89,-41.9119,1.41909,5.30325
3597,212.58,212.58,0.995498,21.2596,15.339
3725,87.7122,87.7122,3.21769,11.5002,5.89264
2445,94.7697,94.7697,-32.6347,-17.6785,-2.95803
3469,127.459,127.459,-3.83227,5.09822,-9.36894
3981,202.005,202.005,13.9145,11.2776,17.0202
2637,156.683,156.683,-25.4126,-8.72071,17.0368
3405,62.6118,62.6118,-7.03256,4.19227,-0.791769
2893,64.3955,64.3955,-20.3103,0.010933,11.3049
3789,238.91,238.91,5.82207,4.53308,-15.2598
1997,97.4317,97.4317,-43.1334,-15.666,9.89898
2349,35.0167,35.0167,-36.5318,-17.9865,-7.31041
1837,101.446,101.446,-48.1327,-11.1225,-24.1274
3885,159.004,159.004,9.39307,42.1967,10.6134
3757,24.9864,24.9864,2.05386,34.7828,-4.84787
2477,123.186,123.186,-30.3985,-7.43348,2.14444
3181,154.949,154.949,-11.6315,-2.44088,1.80574
2669,78.3227,78.3227,-27.5211,-28.5686,-12.9953
1901,155.913,155.913,-44.9916,-27.1777,-6.84303
3949,211.44,211.44,11.1112,12.2724,14.2404
2285,115.07,115.07,-35.8064,-7.83613,9.42468
3821,117.946,117.946,6.72578,14.0612,-6.33042
2589,100.558,100.558,-28.3161,-5.09698,19.4314
3357,142.553,142.553,-7.80776,14.437,12.3413
2845,122.896,122.896,-21.3711,7.50561,-3.90281
3869,188.063,188.063,9.51137,4.12203,3.11105
2717,55.3665,55.3665,-25.5329,-2.37984,11.5786
2141,122.412,122.412,-39.6913,-13.0236,-23.6233
3165,107.831,107.831,-12.861,5.58878,3.99047
2653,179.303,179.303,-25.9868,8.17815,8.99384
3677,145.736,145.736,2.42111,1.45263,-3.84612
2397,126.264,126.264,-34.0192,-20.1133,0.583536
2269,137.126,137.126,-37.7773,-14.3012,-2.09378
2525,106.243,106.243,-29.2366,-1.70951,12.1917
3549,173.101,173.101,-2.33879,21.6077,1.22396
2365,132.21,132.21,-34.1629,-13.1618,-5.02657
2877,212.246,212.246,-19.3164,0.413797,-7.28382
2493,11.7922,11.7922,-33.054,-12.2491,-12.63
3005,131.768,131.768,-16.8832,2.38747,20.5242
3709,168.22,168.22,2.32755,16.3377,-0.361263
3965,185.027,185.027,12.8839,5.57332,6.31707
3837,299.074,299.074,9.87123,31.8586,10.0957
2557,145.087,145.087,-27.5146,-3.94608,7.78233
3581,260.467,260.467,0.896228,1.28646,20.6936
2045,103.022,103.022,-41.6434,-25.0298,3.51233
3075,215.703,215.703,-13.8435,6.5589,-4.62059
2563,89.5672,89.5672,-29.8411,-23.4801,-5.54756
3587,66.4796,66.4796,-2.10457,12.9554,5.38842
3715,103.407,103.407,2.69815,8.4972,-2.68069
2435,135.834,135.834,-32.0149,1.6391,14.2609
3459,86.5476,86.5476,-4.98262,3.29136,6.94
2627,106.039,106.039,-27.4832,-13.9233,11.947
2371,127.993,127.993,-34.9058,-14.4097,-19.5625
3395,113.383,113.383,-6.50024,12.7987,-7.63223
3907,9.08912,9.08912,6.30546,4.08251,-8.41195
3779,174.535,174.535,4.15485,-1.97786,2.05502
2499,117.004,117.004,-30.3951,10.6629,8.35688
4035,127.067,127.067,14.0615,19.7251,-4.01224
2083,116.768,116.768,-41.2843,-3.81345,5.36396
3619,114.924,114.924,0.134553,10.9589,1.31
2339,115.545,115.545,-34.3651,-3.15978,18.3108
1827,89.154,89.154,-48.3912,-10.4395,1.18157
3875,300.039,300.039,9.9899,4.35313,19.269
2723,91.7422,91.7422,-24.7192,-3.24313,19.8812
3747,117.642,117.642,2.90173,14.5291,17.5066
2467,130.835,130.835,-31.6224,-14.988,6.44159
1443,147.699,147.699,-57.9299,-18.109,-21.2192
4003,108.398,108.398,12.622,27.5714,7.06305
3427,97.6232,97.6232,-6.70282,15.818,8.13809
1891,104.556,104.556,-46.4635,-31.1088,-12.3284
3299,130.596,130.596,-9.52643,16.0522,2.29106
3811,191.883,191.883,6.84566,33.3195,13.5098
2531,102.257,102.257,-29.7259,8.07244,4.27289
3555,263.642,263.642,-0.450719,10.0625,-17.5939
3043,218.126,218.126,-15.4749,23.5061,-0.729514
4067,209.993,209.993,15.2751,20.8349,3.3226
3091,117.669,117.669,-14.8945,15.8932,17.9311
2323,85.0161,85.0161,-36.2788,-25.7709,3.90537
2195,114.256,114.256,-38.2238,-0.181602,7.1007
1683,84.9484,84.9484,-52.3242,-18.7809,-11.3584
3731,173.764,173.764,3.44255,13.7492,11.6022
3475,69.6527,69.6527,-4.6812,15.4035,1.12771
1939,78.6431,78.6431,-44.3164,-11.4588,-11.5462
3155,341.894,341.894,-11.1478,2.29507,-15.1578
2259,94.8706,94.8706,-37.1868,-26.5016,-2.42954
3283,108.281,108.281,-9.49927,1.24437,8.56784
2515,105.937,105.937,-30.5261,-15.8819,-16.7998
2003,130.055,130.055,-42.7988,-9.24705,5.6378
2611,99.5241,99.5241,-28.344,-13.6721,-1.59057
2867,149.128,149.128,-19.8105,2.96715,16.3983
2995,211.446,211.446,-16.7762,13.478,-9.33164
2419,172.566,172.566,-31.7222,-9.01501,9.03586
2931,95.1429,95.1429,-23.0273,-2.71606,10.1226
2291,116.701,116.701,-36.0323,-30.5971,-10.919
3315,132.166,132.166,-8.49322,1.69058,3.39728
2035,65.3347,65.3347,-43.8815,-23.3638,-11.2894
3595,288.211,288.211,0.930947,-4.62797,14.7443
2827,113.164,113.164,-22.1364,-4.15458,6.92305
2187,150.435,150.435,-39.5365,-28.466,-14.4316
3211,176.037,176.037,-9.48352,11.8294,21.4907
3723,130.403,130.403,3.56652,24.424,-5.28663
3467,127.529,127.529,-5.07502,30.5768,3.2456
2123,16.1903,16.1903,-41.9129,-10.5091,0.678486
3403,68.0808,68.0808,-7.23844,18.7958,5.65598
3915,192.123,192.123,9.9685,21.4404,-5.72242
3275,242.791,242.791,-7.17117,32.5288,-6.47829
3787,151.515,151.515,4.8065,6.15415,1.59763
3019,112.91,112.91,-17.5548,-3.19635,5.79411
1995,129.649,129.649,-43.0413,-7.42633,1.04102
2091,47.8142,47.8142,-42.3792,-18.44,-12.3787
2603,5.14333,5.14333,-30.1509,27.5767,3.75757
2347,115.033,115.033,-34.6158,6.86618,13.0225
3371,269.328,269.328,-5.88838,4.3887,-16.7254
2219,132.676,132.676,-37.6243,-11.8476,11.6977
2667,127.413,127.413,-25.883,4.96518,4.58788
1899,97.1859,97.1859,-46.0054,-10.5235,9.40349
3947,148.846,148.846,11.031,35.6296,18.2058
3563,124.232,124.232,-1.10164,3.33379,-2.06078
2027,86.2729,86.2729,-42.7088,-7.7185,-6.59749
3355,87.1795,87.1795,-7.83353,5.98689,5.031
3739,138.957,138.957,3.21451,16.0978,3.78663
2459,102.751,102.751,-32.3324,-25.5647,-0.0769456
3483,127.715,127.715,-3.46056,6.11699,2.72839
2971,227.166,227.166,-16.7697,-5.23718,-6.08915
1947,126.002,126.002,-44.1566,-16.7911,2.55137
2139,95.3169,95.3169,-40.0658,-25.9395,-6.4833
3419,75.9013,75.9013,-5.9562,14.1333,3.52659
1755,98.0387,98.0387,-49.9303,-15.1709,-5.46758
3803,185.751,185.751,6.78462,18.2709,20.734
3131,211.663,211.663,-13.4465,13.5491,-2.75028
3387,128.091,128.091,-6.57783,-1.86471,4.60186
