sample_name,cell_id,AP,PD,vol,AP_norm,PD_norm,vol_rescale,bin,bin_center,vol_pool_rescale
424_B,3614,0.0,13.9686,367.634,0.0,0.47760632678111675,2.4236808660262237,"(0.4, 0.6]",0.5,2.2494698250901233
424_B,3902,34.7747,0.0,112.926,1.0,0.0,0.744481156467784,"(-0.001, 0.2]",0.0995,0.6909688153656279
424_B,4009,22.9314,7.48676,71.4414,0.6594276873704158,0.2559829863473644,0.4709878689732882,"(0.2, 0.4]",0.30000000000000004,0.4371338710842673
424_B,3705,8.14113,6.14021,228.459,0.2341107184246018,0.20994252421607612,1.5061493413870453,"(0.2, 0.4]",0.30000000000000004,1.3978892778422682
424_B,3833,14.021,6.59888,156.86,0.4031954265601141,0.22562510471123634,1.0341224713842394,"(0.2, 0.4]",0.30000000000000004,0.9597910877765298
424_B,3877,11.5867,12.3143,160.923,0.3331933848458793,0.4210434538808976,1.0609083925957283,"(0.4, 0.6]",0.5,0.9846516716706776
424_B,4205,16.6794,22.6907,85.5037,0.47964180855622046,0.7758273469848292,0.5636956365963061,"(0.6, 0.8]",0.7,0.5231779244671558
424_B,3949,19.4437,10.9745,53.0817,0.5591335079813772,0.3752337838623317,0.34994886388675744,"(0.2, 0.4]",0.30000000000000004,0.32479499288555025
424_B,3837,20.6199,0.0,130.91,0.5929569485861848,0.0,0.8630433044046332,"(-0.001, 0.2]",0.0995,0.8010088696979822
424_B,4035,19.6401,15.094,47.8569,0.5647812921463017,0.5160853554711408,0.3155036064056382,"(0.4, 0.6]",0.5,0.29282561589068345
424_B,4147,27.4839,15.6544,88.2688,0.7903418289733627,0.5352462295407067,0.5819249624003643,"(0.4, 0.6]",0.5,0.5400969499472711
424_B,4187,22.3471,16.7978,75.3675,0.6426252419143803,0.5743407038646566,0.4968712569300756,"(0.4, 0.6]",0.5,0.461156794644891
424_B,3803,0.0,22.2064,380.282,0.0,0.7592684402898064,2.5070646542326998,"(0.6, 0.8]",0.7,2.326860094618349
424_B,4059,12.0312,18.2365,101.464,0.34597566621710607,0.6235319057274055,0.6689162465671965,"(0.6, 0.8]",0.7,0.6208354132994888
424_B,3771,18.2071,0.0,50.9403,0.5235731724500858,0.0,0.3358313714717236,"(-0.001, 0.2]",0.0995,0.311692247537057
424_B,4027,23.3737,11.3604,83.0226,0.672146704356903,0.3884282544252251,0.5473386222921404,"(0.2, 0.4]",0.30000000000000004,0.507996631161773
424_B,3943,0.0,29.2471,278.145,0.0,1.0,1.833711556822448,"(0.8, 1.0]",0.9,1.7019067455667656
425,288,20.7224,14.4339,128.255,0.7329110387244864,0.42005779690760353,0.7002487893940427,"(0.4, 0.6]",0.5,0.784763521374339
425,360,22.6611,3.99626,122.133,0.8014790921726952,0.1162998338266151,0.6668237916265457,"(-0.001, 0.2]",0.0995,0.7473043792133807
425,408,7.03419,7.14452,248.293,0.24878563773913226,0.20792102835424325,1.3556342650580098,"(0.2, 0.4]",0.30000000000000004,1.5192490664114362
425,344,0.0,16.9575,457.396,0.0,0.4935000305572774,2.497298314090504,"(0.4, 0.6]",0.5,2.798703330260319
425,312,27.1453,8.97933,84.9404,0.9600765364768462,0.261317979028977,0.46375901345480286,"(0.2, 0.4]",0.30000000000000004,0.5197312183614277
425,396,0.0,5.39257,288.269,0.0,0.15693548340157792,1.5738958970007508,"(-0.001, 0.2]",0.0995,1.7638532263308202
425,332,12.5284,17.1172,131.891,0.4431051739931598,0.4981476469441268,0.7201006828737256,"(0.4, 0.6]",0.5,0.8070113882311251
425,236,0.0,27.9648,394.077,0.0,0.8138363352220641,2.1515881811862005,"(0.8, 1.0]",0.9,2.4112685993734
425,348,7.71055,16.3975,193.784,0.2727071772399475,0.477202815925871,1.0580251171801112,"(0.4, 0.6]",0.5,1.1857207455928027
425,338,13.2502,12.103,120.861,0.46863383803551656,0.3522235512212725,0.6598789047986698,"(0.2, 0.4]",0.30000000000000004,0.7395212970786635
425,218,0.0,30.5849,288.911,0.0,0.8900869281787572,1.5774010993148202,"(0.8, 1.0]",0.9,1.7677814800497575
425,250,10.642,22.3614,99.286,0.3763868699622622,0.6507652415334515,0.5420833597425202,"(0.6, 0.8]",0.7,0.6075087207763644
425,358,11.4508,4.112,158.218,0.4049925550238557,0.119668118864899,0.8638412768340153,"(-0.001, 0.2]",0.0995,0.9681003845838771
425,246,13.9523,19.0511,91.0712,0.4934657513413335,0.55442833154355,0.49723205760915945,"(0.4, 0.6]",0.5,0.5572442057447016
425,398,15.2228,0.0,123.544,0.5384008686394969,0.0,0.6745275929741344,"(-0.001, 0.2]",0.0995,0.7559379711096748
425,334,19.1142,4.95311,59.894,0.6760321283436077,0.1441462442195817,0.32701026074591083,"(-0.001, 0.2]",0.0995,0.3664779256106558
425,286,0.0,22.9075,321.92,0.0,0.6666579360159712,1.7576241883882129,"(0.6, 0.8]",0.7,1.9697561327108277
425,190,7.92755,28.1887,167.017,0.28038204575919307,0.8203523108577283,0.9118822038768456,"(0.8, 1.0]",0.9,1.0219394881242678
425,193,0.0,34.3617,221.873,0.0,1.0,1.211385908145682,"(0.8, 1.0]",0.9,1.3575910239592117
425,297,15.0731,19.6718,118.852,0.5331062704029482,0.572492047832325,0.6489101330713093,"(0.4, 0.6]",0.5,0.7272286775750103
425,389,22.5133,0.0,96.7275,0.7962516932457621,0.0,0.528114418744784,"(-0.001, 0.2]",0.0995,0.5918538342656144
425,229,6.95211,26.0513,124.034,0.24588262756374207,0.7581493348699279,0.6772029031515395,"(0.6, 0.8]",0.7,0.7589361709886147
425,333,7.31376,8.24901,253.725,0.25867348562818976,0.2400640829761042,1.3852919893103854,"(0.2, 0.4]",0.30000000000000004,1.5524862536408262
